SL,Scrip,Date,High,Low,Open,Close,YCP,Trade,VALUE (mn),Volume
1,1JANATAMF,12-11-2023,6.1,6.1,6.1,6.1,6.1,1,0,1
2,1JANATAMF,09-11-2023,6.1,6.1,6.1,6.1,6.1,1,0,1
3,1JANATAMF,08-11-2023,6.1,6.1,6.1,6.1,6.1,3,0.002,364
4,1JANATAMF,07-11-2023,6.1,6.1,6.1,6.1,6.1,2,0.001,200
5,1JANATAMF,06-11-2023,6.1,6.1,6.1,6.1,6.1,2,0.001,170
6,1JANATAMF,05-11-2023,6.1,6.1,6.1,6.1,6.1,2,0,4
7,1JANATAMF,02-11-2023,6.1,6.1,6.1,6.1,6.1,5,0.019,"3,106"
8,1JANATAMF,01-11-2023,6.1,6.1,6.1,6.1,6.1,1,0,1
9,1JANATAMF,31-10-2023,6.1,6.1,6.1,6.1,6.1,3,0.001,100
10,1JANATAMF,30-10-2023,0,0,0,6.1,6.1,0,0,0
11,1JANATAMF,29-10-2023,6.1,6.1,6.1,6.1,6.1,3,0.012,"2,000"
12,1JANATAMF,26-10-2023,6.1,6.1,6.1,6.1,6.1,2,0.001,149
13,1JANATAMF,25-10-2023,6.1,6.1,6.1,6.1,6.1,1,0,2
14,1JANATAMF,23-10-2023,6.1,6.1,6.1,6.1,6.1,1,0,10
15,1JANATAMF,22-10-2023,6.1,6.1,6.1,6.1,6.1,1,0,5
16,1JANATAMF,19-10-2023,0,0,0,6.1,6.1,0,0,0
17,1JANATAMF,18-10-2023,0,0,0,6.1,6.1,0,0,0
18,1JANATAMF,17-10-2023,6.1,6.1,6.1,6.1,6.1,1,0,20
19,1JANATAMF,16-10-2023,0,0,0,6.1,6.1,0,0,0
20,1JANATAMF,15-10-2023,6.1,6.1,6.1,6.1,6.1,2,0.001,200
21,1JANATAMF,12-10-2023,0,0,0,6.1,6.1,0,0,0
22,1JANATAMF,11-10-2023,6.1,6.1,6.1,6.1,6.1,1,0.001,164
23,1JANATAMF,10-10-2023,6.1,6.1,6.1,6.1,6.1,1,0,1
24,1JANATAMF,09-10-2023,6.1,6.1,6.1,6.1,6.1,1,0,5
25,1JANATAMF,08-10-2023,0,0,0,6.1,6.1,0,0,0
26,1JANATAMF,05-10-2023,6.1,6.1,6.1,6.1,6.1,1,0,25
27,1JANATAMF,04-10-2023,6.1,6.1,6.1,6.1,6.1,1,0.001,96
28,1JANATAMF,03-10-2023,6.1,6.1,6.1,6.1,6.1,2,0.001,141
29,1JANATAMF,02-10-2023,6.1,6.1,6.1,6.1,6.1,1,0,2
30,1JANATAMF,01-10-2023,6.1,6.1,6.1,6.1,6.1,2,0.006,977
31,1JANATAMF,27-09-2023,6.1,6.1,6.1,6.1,6.1,4,0.012,"2,013"
32,1JANATAMF,26-09-2023,6.1,6.1,6.1,6.1,6.1,1,0,2
33,1JANATAMF,25-09-2023,6.1,6.1,6.1,6.1,6.1,6,0.028,"4,647"
